nome_projeto;cliente;esfera_cliente;numero_srm;numero_ocs;data_de_assinatura;compartilhado;link_projeto;servico_contratado;objeto;valor_global_contrato_reais;fim_vigencia;consorcio;cnpj_consorcio;empresa;cnpj_empresa;lider_consorcio;pp_consorcio;valor_recebido_por_empresa
ALAGOAS - SANEAMENTO - BLOCO B;ESTADO DE ALAGOAS;Estadual;4400002633,0;0228/2017;2017-05-30;Sim;https://www.bndes.gov.br/arquivos/contratos-administrativos/4400002633.zip;Serviço Único;CONSULTORIA DESESTATIZAÇÃO CASAL;11069894,62;2022-02-26;CONSORCIO EY, FELSBERG, MUZZI E EMA;27.720.709/0001-18;ERNST & YOUNG ASSESSORIA EMPRESARIAL LTDA;59.527.788/0001-31;Sim;0,312;3453807,12144
ALAGOAS - SANEAMENTO - BLOCO C;ESTADO DE ALAGOAS;Estadual;4400002633,0;0228/2017;2017-05-30;Sim;https://www.bndes.gov.br/arquivos/contratos-administrativos/4400002633.zip;Serviço Único;CONSULTORIA DESESTATIZAÇÃO CASAL;11069894,62;2022-02-26;CONSORCIO EY, FELSBERG, MUZZI E EMA;27.720.709/0001-18;E.M.A. ENGENHARIA DE MEIO AMBIENTE LTDA;54.695.317/0001-19;Não;0,4605;5097686,47251
ALAGOAS - SANEAMENTO - BLOCO C;ESTADO DE ALAGOAS;Estadual;4400002633,0;0228/2017;2017-05-30;Sim;https://www.bndes.gov.br/arquivos/contratos-administrativos/4400002633.zip;Serviço Único;CONSULTORIA DESESTATIZAÇÃO CASAL;11069894,62;2022-02-26;CONSORCIO EY, FELSBERG, MUZZI E EMA;27.720.709/0001-18;FELSBERG E PEDRETTI ADVOGADOS E CONSULTORES LEGAIS;09.522.100/0001-52;Não;0,2064;2284826,249568
ALAGOAS - SANEAMENTO - BLOCO C;ESTADO DE ALAGOAS;Estadual;4400002633,0;0228/2017;2017-05-30;Sim;https://www.bndes.gov.br/arquivos/contratos-administrativos/4400002633.zip;Serviço Único;CONSULTORIA DESESTATIZAÇÃO CASAL;11069894,62;2022-02-26;CONSORCIO EY, FELSBERG, MUZZI E EMA;27.720.709/0001-18;GONCALVES MUZZI PEIXOTO;05.991.123/0001-55;Não;0,0211;233574,776482
ALAGOAS - SANEAMENTO - BLOCO C;ESTADO DE ALAGOAS;Estadual;4400002633,0;0228/2017;2017-05-30;Sim;https://www.bndes.gov.br/arquivos/contratos-administrativos/4400002633.zip;Serviço Único;CONSULTORIA DESESTATIZAÇÃO CASAL;11069894,62;2022-02-26;CONSORCIO EY, FELSBERG, MUZZI E EMA;27.720.709/0001-18;ERNST & YOUNG ASSESSORIA EMPRESARIAL LTDA;59.527.788/0001-31;Sim;0,312;3453807,12144
AMAPÁ - SANEAMENTO;ESTADO DO AMAPA;Estadual;4400002647,0;0245/2017;2017-06-14;Não;https://www.bndes.gov.br/arquivos/contratos-administrativos/4400002647.zip;Serviço Único;CONSULTORIA PARA DESESTATIZAÇÃO DA CAESA - AMAPA;6674502,64;2022-04-23;SANEAMENTO AMAPA;27.828.515/0001-30;EGIS - ENGENHARIA E CONSULTORIA LTDA.;44.239.135/0005-03;Não;0,3195;2132503,59348
AMAPÁ - SANEAMENTO;ESTADO DO AMAPA;Estadual;4400002647,0;0245/2017;2017-06-14;Não;https://www.bndes.gov.br/arquivos/contratos-administrativos/4400002647.zip;Serviço Único;CONSULTORIA PARA DESESTATIZAÇÃO DA CAESA - AMAPA;6674502,64;2022-04-23;SANEAMENTO AMAPA;27.828.515/0001-30;LOESER, BLANCHET E HADAD ADVOGADOS;60.527.520/0001-89;Não;0,1888;1260146,0984319998
AMAPÁ - SANEAMENTO;ESTADO DO AMAPA;Estadual;4400002647,0;0245/2017;2017-06-14;Não;https://www.bndes.gov.br/arquivos/contratos-administrativos/4400002647.zip;Serviço Único;CONSULTORIA PARA DESESTATIZAÇÃO DA CAESA - AMAPA;6674502,64;2022-04-23;SANEAMENTO AMAPA;27.828.515/0001-30;PRICEWATERHOUSECOOPERS CORPORATE FINANCE & RECOVERY LTDA;05.487.514/0001-37;Não;0,0776;517941,404864
AMAPÁ - SANEAMENTO;ESTADO DO AMAPA;Estadual;4400002647,0;0245/2017;2017-06-14;Não;https://www.bndes.gov.br/arquivos/contratos-administrativos/4400002647.zip;Serviço Único;CONSULTORIA PARA DESESTATIZAÇÃO DA CAESA - AMAPA;6674502,64;2022-04-23;SANEAMENTO AMAPA;27.828.515/0001-30;PWC STRATEGY& CONSULTORIA EMPRESARIAL LTDA;49.755.044/0001-10;Não;0,0106;70749,727984
AMAPÁ - SANEAMENTO;ESTADO DO AMAPA;Estadual;4400002647,0;0245/2017;2017-06-14;Não;https://www.bndes.gov.br/arquivos/contratos-administrativos/4400002647.zip;Serviço Único;CONSULTORIA PARA DESESTATIZAÇÃO DA CAESA - AMAPA;6674502,64;2022-04-23;SANEAMENTO AMAPA;27.828.515/0001-30;PRICEWATERHOUSECOOPERS SERVICOS PROFISSIONAIS LTDA.;02.646.397/0001-19;Sim;0,4035;2693161,81524
AMAPÁ - SANEAMENTO;ESTADO DO AMAPA;Estadual;4400004613,0;0087/2021;2021-05-26;Sim;https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004613.zip;Leilão;Prestação de serviços de assessoria técnica especializada e apoio operacional necessários à licitação para concessão de sistema rodoviário no Estado de Pernambuco e à licitação para concessão dos serviços públicos de abastecimento de água e de esgotamento sanitário no Estado do Amapá.;1522037,68;2023-05-25;B3 S.A. - BRASIL, BOLSA, BALCAO;09.346.601/0001-25;B3 S.A. - BRASIL, BOLSA, BALCAO;09.346.601/0001-25;Não;1,0;1522037,68
AMAPÁ RESÍDUOS SÓLIDOS;ESTADO DO AMAPA;Estadual;4400005172,0;0231/2022;2022-09-19;Não;https://www.bndes.gov.br/arquivos/contratos-administrativos/4400005172.zip;Serviço Único;contratação de estudos técnicos de apoio, avaliação, estruturação e implementação de projetos de estruturação para a participação da iniciativa privada no setor de manejo de Resíduos Sólidos, no Estado do Amapá;4072627,48;2025-09-18;CONSORCIO RADAR PPP, WBIO E DAL POZZO ADVOGADOS;48.213.934/0001-38;DAL POZZO ADVOGADOS;01.546.213/0001-86;Não;0,4776;1945086,884448
AMAPÁ RESÍDUOS SÓLIDOS;ESTADO DO AMAPA;Estadual;4400005172,0;0231/2022;2022-09-19;Não;https://www.bndes.gov.br/arquivos/contratos-administrativos/4400005172.zip;Serviço Único;contratação de estudos técnicos de apoio, avaliação, estruturação e implementação de projetos de estruturação para a participação da iniciativa privada no setor de manejo de Resíduos Sólidos, no Estado do Amapá;4072627,48;2025-09-18;CONSORCIO RADAR PPP, WBIO E DAL POZZO ADVOGADOS;48.213.934/0001-38;WBIO CONSULTORIA E ENGENHARIA AMBIENTAL LIMITADA;17.298.125/0001-42;Não;0,1084;441472,81883199996
AMAPÁ RESÍDUOS SÓLIDOS;ESTADO DO AMAPA;Estadual;4400005172,0;0231/2022;2022-09-19;Não;https://www.bndes.gov.br/arquivos/contratos-administrativos/4400005172.zip;Serviço Único;contratação de estudos técnicos de apoio, avaliação, estruturação e implementação de projetos de estruturação para a participação da iniciativa privada no setor de manejo de Resíduos Sólidos, no Estado do Amapá;4072627,48;2025-09-18;CONSORCIO RADAR PPP, WBIO E DAL POZZO ADVOGADOS;48.213.934/0001-38;RADAR PPP LTDA;20.159.727/0001-23;Sim;0,414;1686067,77672
ANGRA3;ELETRONUCLEAR S.A.;Federal;4400004626,0;0092/2021;2021-06-23;Não;https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004626.zip;Serviço A;Contratação dos serviços técnicos de engenharia, no âmbito da estruturação do modelo de implantação da Usina Termonuclear de Angra 3 nos termos da Resolução nº 139 do Conselho do Programa de Parcerias de Investimento (CPPI), do Decreto nº 9915/2019 e demais normas aplicáveis (“Serviço A”).;57994841,55;2026-10-25;CONSORCIO ANGRA EUROBRAS NES;43.291.950/0001-25;EMPRESARIOS AGRUPADOS INTERNACIONAL S.A.;09.187.017/0001-74;Não;0,4257;24688404,047835
ANGRA3;ELETRONUCLEAR S.A.;Federal;4400004626,0;0092/2021;2021-06-23;Não;https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004626.zip;Serviço A;Contratação dos serviços técnicos de engenharia, no âmbito da estruturação do modelo de implantação da Usina Termonuclear de Angra 3 nos termos da Resolução nº 139 do Conselho do Programa de Parcerias de Investimento (CPPI), do Decreto nº 9915/2019 e demais normas aplicáveis (“Serviço A”).;57994841,55;2026-10-25;CONSORCIO ANGRA EUROBRAS NES;43.291.950/0001-25;TRACTEBEL ENGINEERING SA;09.063.390/0001-13;Não;0,328;19022308,0284
ANGRA3;ELETRONUCLEAR S.A.;Federal;4400004626,0;0092/2021;2021-06-23;Não;https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004626.zip;Serviço A;Contratação dos serviços técnicos de engenharia, no âmbito da estruturação do modelo de implantação da Usina Termonuclear de Angra 3 nos termos da Resolução nº 139 do Conselho do Programa de Parcerias de Investimento (CPPI), do Decreto nº 9915/2019 e demais normas aplicáveis (“Serviço A”).;57994841,55;2026-10-25;CONSORCIO ANGRA EUROBRAS NES;43.291.950/0001-25;TRACTEBEL ENGINEERING LTDA;33.633.561/0001-87;Sim;0,2463;14284129,473764999
ANGRA3;ELETRONUCLEAR S.A.;Federal;4400004804,0;0228/2021;2021-10-25;Não;https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004804.zip;Serviço B;Contratação dos serviços necessários para a realização do “Serviço B” (Avaliação de Recursos Humanos e Atuarial/Previdenciária, Due Diligence Jurídica, Due Diligence Contábil-Patrimonial, e Avaliação Socioambiental e de Licenciamento Nuclear) no âmbito da estruturação do modelo de implantação da Usina Termonuclear de Angra 3 (“Serviço B”).;2532035,61;2026-10-25;CONSORCIO BCR;45.322.624/0001-63;CESCON, BARRIEU, FLESCH & BARRETO SOCIEDADE DE ADVOGADOS;02.520.543/0001-65;Não;0,1738;440067,789018
ANGRA3;ELETRONUCLEAR S.A.;Federal;4400004804,0;0228/2021;2021-10-25;Não;https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004804.zip;Serviço B;Contratação dos serviços necessários para a realização do “Serviço B” (Avaliação de Recursos Humanos e Atuarial/Previdenciária, Due Diligence Jurídica, Due Diligence Contábil-Patrimonial, e Avaliação Socioambiental e de Licenciamento Nuclear) no âmbito da estruturação do modelo de implantação da Usina Termonuclear de Angra 3 (“Serviço B”).;2532035,61;2026-10-25;CONSORCIO BCR;45.322.624/0001-63;RAMBOLL BRASIL ENGENHARIA E CONSULTORIA AMBIENTAL LTDA;02.807.315/0001-70;Não;0,3475;879882,3744749998
ANGRA3;ELETRONUCLEAR S.A.;Federal;4400004804,0;0228/2021;2021-10-25;Não;https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004804.zip;Serviço B;Contratação dos serviços necessários para a realização do “Serviço B” (Avaliação de Recursos Humanos e Atuarial/Previdenciária, Due Diligence Jurídica, Due Diligence Contábil-Patrimonial, e Avaliação Socioambiental e de Licenciamento Nuclear) no âmbito da estruturação do modelo de implantação da Usina Termonuclear de Angra 3 (“Serviço B”).;2532035,61;2026-10-25;CONSORCIO BCR;45.322.624/0001-63;BAKER TILLY BRASIL GO AUDITORES INDEPENDENTES S/S;24.935.493/0001-10;Sim;0,4788;1212338,650068
ANGRA3;ELETRONUCLEAR S.A.;Federal;4400004852,0;0263/2021;2021-12-06;Não;https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004852.zip;Serviço C;Processo de seleção da RFP nº 20/2021 - AED/BNDES (Projeções Financeiras, Avaliação Econômico Financeira, Assessoria Jurídica e Assessoria Financeira e outros produtos e serviços relacionados -“Serviço C” do empreendimento de Angra 3).;47037772,55;2026-10-25;CONSORCIO LM ANGRA 3;44.672.258/0001-00;MATTOS FILHO, VEIGA FILHO, MARREY JR. E QUIROGA ADVOGADOS;67.003.673/0001-76;Não;0,3705;17427494,729775
ANGRA3;ELETRONUCLEAR S.A.;Federal;4400004852,0;0263/2021;2021-12-06;Não;https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004852.zip;Serviço C;Processo de seleção da RFP nº 20/2021 - AED/BNDES (Projeções Financeiras, Avaliação Econômico Financeira, Assessoria Jurídica e Assessoria Financeira e outros produtos e serviços relacionados -“Serviço C” do empreendimento de Angra 3).;47037772,55;2026-10-25;CONSORCIO LM ANGRA 3;44.672.258/0001-00;LAKESHORE ADVISORY PARTNERS CONSULTORIA LTDA;12.349.622/0001-09;Sim;0,6295;29610277,820224997
ARAPIRACA - SANEAMENTO;MUNICÍPIO DE ARAPIRACA;Municipal;4400004998,0;0081/2022;2022-05-02;Não;https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004998.zip;Serviço Único;(i)Autorizar contratação do Consórcio EY/FELSBERG/SANEARES para consultoria ao projeto de participação privada na prestação dos serviços públicos de saneamento em até 28 municípios de Alagoas, por 18 meses prorrogáveis, no valor de R$ 2.250.000,00, (ii)Condicionar item (i) à celebração do Contrato de Estruturação de Projetos entre BNDES e Arapiraca, e (iii)Delegar poderes ao Sup AEP para ajustar Minuta das Especificações Técnicas, desde que não aumente o valor global da presente contratação.;4229426,14;2026-11-29;CONSORCIO EY/FELSBERG/SANEARES;46.867.604/0001-30;FELSBERG, PEDRETTI E MANNRICH ADVOGADOS E CONSULTORES L;52.566.122/0001-43;Não;0,2065;873376,4979099999
ARAPIRACA - SANEAMENTO;MUNICÍPIO DE ARAPIRACA;Municipal;4400004998,0;0081/2022;2022-05-02;Não;https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004998.zip;Serviço Único;(i)Autorizar contratação do Consórcio EY/FELSBERG/SANEARES para consultoria ao projeto de participação privada na prestação dos serviços públicos de saneamento em até 28 municípios de Alagoas, por 18 meses prorrogáveis, no valor de R$ 2.250.000,00, (ii)Condicionar item (i) à celebração do Contrato de Estruturação de Projetos entre BNDES e Arapiraca, e (iii)Delegar poderes ao Sup AEP para ajustar Minuta das Especificações Técnicas, desde que não aumente o valor global da presente contratação.;4229426,14;2026-11-29;CONSORCIO EY/FELSBERG/SANEARES;46.867.604/0001-30;SANEARES - INFRAESTRUTURA E SANEAMENTO LTDA;34.830.445/0001-10;Não;0,4239;1792853,7407459999
ARAPIRACA - SANEAMENTO;MUNICÍPIO DE ARAPIRACA;Municipal;4400004998,0;0081/2022;2022-05-02;Não;https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004998.zip;Serviço Único;(i)Autorizar contratação do Consórcio EY/FELSBERG/SANEARES para consultoria ao projeto de participação privada na prestação dos serviços públicos de saneamento em até 28 municípios de Alagoas, por 18 meses prorrogáveis, no valor de R$ 2.250.000,00, (ii)Condicionar item (i) à celebração do Contrato de Estruturação de Projetos entre BNDES e Arapiraca, e (iii)Delegar poderes ao Sup AEP para ajustar Minuta das Especificações Técnicas, desde que não aumente o valor global da presente contratação.;4229426,14;2026-11-29;CONSORCIO EY/FELSBERG/SANEARES;46.867.604/0001-30;ERNST & YOUNG ASSESSORIA EMPRESARIAL LTDA;59.527.788/0001-31;Sim;0,3696;1563195,901344
BILHETAGEM RJ;ESTADO DO RIO DE JANEIRO;Estadual;4400004384,0;0222/2020;2020-10-28;Não;https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004384.zip;Serviço Único;Contratação de serviços técnicos necessários para a estruturação de projeto para implementação e gestão de um novo sistema de bilhetagem eletrônica para o transporte público intermunicipal da Região Metropolitana do Rio de Janeiro – RMRJ e suas interfaces com o transporte público municipal, conforme especificações constantes do Termo de Referência (Anexo I do Edital do Pregão Eletrônico nº 24/2020 - BNDES) e da proposta apresentada pelo CONTRATADO.;1259112,42;2023-10-27;CONSORCIO FDT - MU;41.552.015/0001-40;CORDEIRO, LIMA SOCIEDADE DE ADVOGADOS;10.538.980/0001-34;Não;0,631;794499,93702
BILHETAGEM RJ;ESTADO DO RIO DE JANEIRO;Estadual;4400004384,0;0222/2020;2020-10-28;Não;https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004384.zip;Serviço Único;Contratação de serviços técnicos necessários para a estruturação de projeto para implementação e gestão de um novo sistema de bilhetagem eletrônica para o transporte público intermunicipal da Região Metropolitana do Rio de Janeiro – RMRJ e suas interfaces com o transporte público municipal, conforme especificações constantes do Termo de Referência (Anexo I do Edital do Pregão Eletrônico nº 24/2020 - BNDES) e da proposta apresentada pelo CONTRATADO.;1259112,42;2023-10-27;CONSORCIO FDT - MU;41.552.015/0001-40;FUNDACAO INSTITUTO DE PESQUISAS ECONOMICAS FIPE;43.942.358/0001-46;Não;0,216;271968,28271999996
BILHETAGEM RJ;ESTADO DO RIO DE JANEIRO;Estadual;4400004384,0;0222/2020;2020-10-28;Não;https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004384.zip;Serviço Único;Contratação de serviços técnicos necessários para a estruturação de projeto para implementação e gestão de um novo sistema de bilhetagem eletrônica para o transporte público intermunicipal da Região Metropolitana do Rio de Janeiro – RMRJ e suas interfaces com o transporte público municipal, conforme especificações constantes do Termo de Referência (Anexo I do Edital do Pregão Eletrônico nº 24/2020 - BNDES) e da proposta apresentada pelo CONTRATADO.;1259112,42;2023-10-27;CONSORCIO FDT - MU;41.552.015/0001-40;FUNDACAO UNIVERSIDADE EMPRESA DE TECNOLOGIA E CIENCIAS;87.878.476/0001-08;Sim;0,153;192644,20025999998
CANOAS IP;MUNICÍPIO DE CANOAS;Municipal;4400004456,0;0126/2020;2020-06-04;Sim;https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004456.zip;Serviço Único;Contratação de serviços técnicos necessários para a estruturação de projeto(s) de Parceria Público-Privada (PPP) relativo(s) à modernização, eficientização, expansão, operação e manutenção da infraestrutura de rede(s) municipal(is) de ILUMINAÇÃO PÚBLICA que tenha(m) até 400.000 (quatrocentos mil) pontos de luz.;8612788,06;2025-06-03;CONSORCIO ACCENTURE E M&P SOCIEDADE DE ADVOGADOS;39.345.591/0001-74;MOYSES & PIRES SOCIEDADE DE ADVOGADOS;19.453.651/0001-65;Não;0,25;2153197,015
CANOAS IP;MUNICÍPIO DE CANOAS;Municipal;4400004456,0;0126/2020;2020-06-04;Sim;https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004456.zip;Serviço Único;Contratação de serviços técnicos necessários para a estruturação de projeto(s) de Parceria Público-Privada (PPP) relativo(s) à modernização, eficientização, expansão, operação e manutenção da infraestrutura de rede(s) municipal(is) de ILUMINAÇÃO PÚBLICA que tenha(m) até 400.000 (quatrocentos mil) pontos de luz.;8612788,06;2025-06-03;CONSORCIO ACCENTURE E M&P SOCIEDADE DE ADVOGADOS;39.345.591/0001-74;ACCENTURE DO BRASIL LTDA;96.534.094/0001-58;Sim;0,75;6459591,045
CARUARU IP;MUNICIPIO DE CARUARU;Municipal;4400003491,0;0420/2018;2018-11-05;Sim;https://www.bndes.gov.br/arquivos/contratos-administrativos/4400003491.zip;Serviço A;Contratação de serviços técnicos necessários para a estruturação de projeto(s) de Parceria Público-Privada (PPP) relativo(s) à modernização, eficientização, expansão, operação e manutenção da infraestrutura de rede(s) municipal(is) de ILUMINAÇÃO PÚBLICA que tenha(m) até 200.000 (duzentos mil) pontos de luz.;3552283,59;2023-01-04;CONSORCIO LUZ BRASIL;31.749.772/0001-54;TELLUS MATER BRASIL LTDA;21.152.960/0001-47;Não;0,27;959116,5693
CARUARU IP;MUNICIPIO DE CARUARU;Municipal;4400003491,0;0420/2018;2018-11-05;Sim;https://www.bndes.gov.br/arquivos/contratos-administrativos/4400003491.zip;Serviço A;Contratação de serviços técnicos necessários para a estruturação de projeto(s) de Parceria Público-Privada (PPP) relativo(s) à modernização, eficientização, expansão, operação e manutenção da infraestrutura de rede(s) municipal(is) de ILUMINAÇÃO PÚBLICA que tenha(m) até 200.000 (duzentos mil) pontos de luz.;3552283,59;2023-01-04;CONSORCIO LUZ BRASIL;31.749.772/0001-54;THOREOS CONSULTORIA LTDA.;08.646.359/0001-42;Não;0,53;1882710,3027000001
CARUARU IP;MUNICIPIO DE CARUARU;Municipal;4400003491,0;0420/2018;2018-11-05;Sim;https://www.bndes.gov.br/arquivos/contratos-administrativos/4400003491.zip;Serviço A;Contratação de serviços técnicos necessários para a estruturação de projeto(s) de Parceria Público-Privada (PPP) relativo(s) à modernização, eficientização, expansão, operação e manutenção da infraestrutura de rede(s) municipal(is) de ILUMINAÇÃO PÚBLICA que tenha(m) até 200.000 (duzentos mil) pontos de luz.;3552283,59;2023-01-04;CONSORCIO LUZ BRASIL;31.749.772/0001-54;TAUIL E CHEQUER ADVOGADOS;68.809.318/0001-51;Sim;0,2;710456,718
CASA DA MOEDA;MINISTERIO DA FAZENDA;Federal;4400004144,0;0029/2020;2020-01-24;Não;https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004144.zip;Serviço A;Contratação de serviços relativos à estruturação e implementação da desestatização da CASA DA MOEDA DO BRASIL (CMB), denominado SERVIÇO A, conforme especificações constantes do Termo de Referência e da proposta apresentada pelo CONTRATADO.;68240,0;2023-01-21;INVESTOR CONSULTING PARTNERS CONSULTORIA LTDA.;13.711.795/0001-98;INVESTOR CONSULTING PARTNERS CONSULTORIA LTDA.;13.711.795/0001-98;Não;1,0;68240,0
